Study#,SL,Title,Year,Performance Evaluation,Statistical Test
S1,1,Finding high-quality content in social media,2008,Cohen's Kappa (agreement); precision; recall; Area Under the ROC Curve (AUC); F1-Score;,Cohen's Kappa (agreement)
S2,2,Evaluating and Predicting Answer Quality in Community QA,2010,5-point Likert scale; accuracy; Pseudo-R-squared; Chi-squared test; Two-tailed paired t-test;,Chi-squared test; Two-tailed paired t-test
S3,3,Selection of the Best Answer in CQA Services,2010,logistic regression(Beta value - ?; Standard Error - S.E; Wald statistics - Wald; Significance - ?; Odds ratio - Exp(?)); Omnibus Tests of model coefficients; P-value significance;,Wald statistics; Omnibus Tests of model coefficients
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,2012,Precision; Recall; F1-Score; Area Under the ROC Curve (AUC); feature rank (Information Gain Ratio);,
S5,5,Predictors of High-Quality Answers,2012,Cohen’s Kappa; Log likelihood; Cox and Snell R square; Nagelkerke R square; Beta value – B; significance – p; odds ratio – Exp(B); Hosmer-Lemeshow test;,Cohen’s Kappa; Hosmer-Lemeshow test; Log likelihood;
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,2013,NDCG(Normalized Discounted Cumulative Gain)@k; infogain;,
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,2013,Pearson Correlation Coefficien; accuracy; F1 score; Area Under the ROC Curve (AUC);,
S8,8,Answering questions about unanswered questions of Stack Overflow,2013,Precision; Recall; Binning (time categorization);,
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,2013,accuracy;,
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,2013,Krippendorff’s alpha (inter-coder agreement); Mean; Standard Deviation; Skewness; Kurtosis; ANOVA; Adjusted R-square;  Beta coefficients;,Krippendorff’s alpha; ANOVA
S11,11,From bad to good: an investigation of question quality and transformation,2013,Kohen's Kappa; t-test; mean; standard deviation; Standard Error Mean;,t-test; Kohen's Kappa
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,2014,Cohen’s kappa; accuracy; chi-squared statistic; ,Cohen’s kappa; chi-squared statistic
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",2014,answer score;,
S14,14,Understanding and Classifying the Quality of Technical Forum Questions,2014,Precision; Average ROC; Fitness function;,
S15,15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,2014,F1-Score; Accuracy; Area Under the ROC Curve (AUC);,
S16,16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,2014,Accuracy; Receiver Operating Characteristic (ROC)/Area Under the ROC Curve (AUC);,
S17,17,An Insight into the Unresolved Questions at Stack Overflow,2015,precision; recall; accuracy;,
S18,18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,2015,answer Score;,
S19,19,Mining Successful Answers in Stack Overflow,2015,Precision; Recall; F1-Score; Area Under the ROC Curve (AUC); Odds ratio; Coefficient estimate;,Odds ratio; Coefficient estimate
S20,20,Automatic assessments of code explanations: Predicting answering times on stack overflow,2015,Precision; Recall;,
S21,21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,2015,Pearson’s correlation coefficient; accuracy;,Pearson’s correlation coefficient
S22,22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",2015,Mean; Standard Deviation; Mean rating (Likert scale);,
S23,23,Predicting the quality of questions on Stackoverflow,2015,MSE; MAE; R-Square; F-statistic;,F-statistic
S24,24,Answers or no answers: Studying question answerability in Stack Overflow,2015,"Cohen’s Kappa; mean; standard deviation; Accuracy; Omnibus test ?2;
Hosmer–Lemeshow test ?2; Cox and Snell R^2;
Cox and Snell incremental R^2; Na; gelkerke R^2;
Nagelkerke incremental R^2; Odds ratio;",Cohen’s Kappa; Omnibus test ?2; Hosmer–Lemeshow test ?2; Odds ratio
S25,25,TagCombine: Recommending Tags to Contents in Software Information Sites,2015,"Recall@K (k=5, 10);",
S26,26,Detecting high-quality posts in community question answering sites,2015,Pearson correlation; Precision;,Pearson correlation
S27,27,Building a parsimonious model for identifying best answers using interaction history in community Q&A,2015,accuracy; precision; recall; ROC (AUC); Krippendorff’s Alpha; InfoGain;,Krippendorff’s Alpha
S28,28,Multi-Factor Duplicate Question Detection in Stack Overflow,2015,"recall-rate@k (k=5, 10, 20);",
S29,29,Synonym Suggestion for Tags on Stack Overflow,2015,"top@k (k=1,3,5,10,15);",
S30,30,CSNIPPEX: Automated Synthesis of Compilable Code Snippets from Q&A Sites,2016,compilability; Precision;,
S31,31,Evaluating the Quality of Educational Answers in Community Question-Answering,2016,accuracy; F1-Score; ,
S32,32,Improving the Quality of Code Snippets in Stack Overflow,2016,completeness; conciseness; correctness; understandability;,
S33,33,Mining Duplicate Questions in Stack Overflow,2016,"recall@K (K=5, 10, 20);",
S34,34,Predicting Questions' Scores on Stack Overflow,2016,Spearman’s Rank Correlation; R-squared; ,Spearman’s Rank Correlation
S35,35,"Social Question Answering: Textual, User, and Network Features for Best Answer Prediction",2016,Precision@1; ,
S36,36,Understanding Question Quality through Affective Aspect in Q&A Site,2016,Precision; recall; F1-score; Scott-Knott (feature ranking);,Scott-Knott (feature ranking)
