Study#,SL,Title,Year,Limitations & Future Works
S1,1,Finding high-quality content in social media,2008,"Limitations [N/A];
Future Work [“This remains an open question for future work” referring to the use of co-training, co-boosting, or Maximum Entropy classifiers to improve classification accuracy, which did not yield improvements in their experiments (Section 6.1 Question quality, p. 9); “In the future, we plan to more specifically explore the relationships and usage features to automatically identify malicious users” (Section 7 Conclusions, p. 10); The authors state that their “results and insights are applicable to other social media settings, and to other emerging domains centered around user contributed-content,” implying future application and validation beyond Yahoo! Answers (Section 7 Conclusions, p. 10)];"
S2,2,Evaluating and Predicting Answer Quality in Community QA,2010,"Limitations [The authors explicitly state that “it is extremely hard to pick the best answer from a set of answers for a given question,” due to large variability in the kind of questions asked, the asker’s expectations, and the answers given, and because only one of many answers can be selected as the best, making classifier training difficult (Section 4.3 Constructing a model with logistic regression, p. 5); The paper further notes that the 13 human-assessed quality aspects are “highly correlated, but do not help us create a robust model for explaining the variability in the data, let alone predicting the best answer” (Section 4.3, p. 5); The authors also explicitly acknowledge that human assessors “were given the answers without any context (other than the question)” and lacked information about who asked or answered the question, even though such contextual information is “critical in evaluating content quality in CQA” (Section 6 Conclusion, p. 8)];
Future Work [The authors state that “there are several other possible features of CQA questions and answers worth exploring,” given the diversity of CQA sites and their asking, answering, and rating mechanisms, and that “future work will benefit from the unique issues presented here while evaluating and predicting content quality in CQA” (Section 6 Conclusion, p. 8)];"
S3,3,Selection of the Best Answer in CQA Services,2010,"Limitations [“There are two limitations in this study. The first is that actual users were not available to confirm the results of our analysis,” as expert evaluators were used as proxies for askers (Section 6 Conclusion, p. 5); “The second limitation concerns the nature of the corpus used for this study. Specifically, the corpus was restricted to the computer science category,” and features such as authority, accuracy, and length may be domain dependent (Section 6 Conclusion, p. 5)];
Future Work [“As a part of future research the real askers in the CQA site could be interviewed to identify factors that affect their best answers selection” (Section 6 Conclusion, p. 5); The authors state that “answers from other domains should also be analyzed in future research” to address domain dependency of features (Section 6 Conclusion, p. 5); “Scholars interested in CQA research may wish to explore the automation of content-appraisal features,” which could enable retrieval of best answers “without human intervention” (Section 6 Conclusion, p. 6)];"
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,2012,"Limitations [The authors explicitly state that “it is therefore difficult to generalise any findings without a broad base of experimentation,” noting that different online communities have different characteristics, goals, and behaviours, which limits generalisation of the results (Section 6 Discussion and Future Work, p. 14)];
Future Work [The authors state that they are “developing measures of answer quality, and will test them on threads with and without best answers,” in order to ensure that no best answer is enforced when none meets a quality threshold (Section 6 Discussion and Future Work, p. 14); They further note that identifying best answers becomes more important for longer threads and suggest focusing future analysis on threads with more than one answer (Section 6 Discussion and Future Work, p. 14)];"
S5,5,Predictors of High-Quality Answers,2012,"Limitations [“The limitations of this study are along two dimensions. First the reasons for the weak association of social features in this study may be due to the selection of objective categories for analysis, and the selection of explicit features such as users’ points,” noting that only four categories were considered and that domain choice may influence feature importance (Conclusion, p. 395); “Second it should be noted that the extraction of content appraisal features is labour intensive as their derivation is manual,” which limits scalability of the proposed framework (Conclusion, p. 395)];
Future Work [“In future work, there is a need to employ more subjective categories such as beauty and travel” to better understand the role of social features (Conclusion, p. 395); “For future work the reputation of users could be better represented using link analysis” and reputation propagation methods (Discussion, p. 394); “There is a need to investigate automating the extraction of content appraisal features, and this will enable the use of the proposed framework to seamlessly identify high-quality answers with little human intervention” (Conclusion, p. 395); “Further research could be carried out to reveal the influence of these features depending on the community and the domain of use,” including extending the study to other CQA services such as Naver and AnswerBag (Conclusion, pp. 395–396)];"
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,2013,"Limitations [N/A];
Future Work [“As future work, we intend to study a multi-view combination method for this problem, based on a meta-learning stacking strategy. We also intend to study more reliable strategies to determine the expertise of the users and their importance for the forums” (Section 5 Conclusions, p. 10)];"
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,2013,"Limitations [N/A];
Future Work [N/A];"
S8,8,Answering questions about unanswered questions of Stack Overflow,2013,"Limitations [N/A];
Future Work [“Identifying the quality of a question can also help in this regard, which we plan to consider in a future study,” referring to extending the work to incorporate question quality analysis to better support moderators and improve response times (Section VI Conclusion, p. 100)];"
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,2013,"Limitations [The authors explicitly state that “although our tagging system shows more than 85% accuracy for specific tags (e.g., uitableview), it sometimes does not work well with general tags (e.g., java),” indicating limitations in handling broad or generic tags (Section IV Conclusion, p. 76)];
Future Work [“Using a large number of good quality positive documents may help resolve this issue,” referring to improving performance for general tags (Section IV Conclusion, p. 76); “Future work includes tuning the models by manual investigation to improve accuracy and further exploring the relationship between tags and responses” (Section IV Conclusion, p. 76)];"
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,2013,"Limitations [The authors explicitly note that “regardless of the small sample size, results were significant,” acknowledging that the small sample size limits the amount of variability that can be explained in the models (Section Discussion, p. 8); They further state that “for most of the question quality ratings there is still a majority of the variability within each rating left to be explained,” which is partly attributed to the subjectivity of human judgments and introduces noise into explanatory models (Section Discussion, p. 8)];
Future Work [The authors state that “future studies should begin by generating additional factors that might contribute to explaining the ratings,” including adding new textual features such as presence of subjective words and features indicating question type (Section Discussion, p. 8); They propose conducting “further experiments with more advanced explanatory model-based methods” to fine-tune model performance once more variability is explained (Section Discussion, p. 8); They suggest building and integrating a system that can determine question quality, display corresponding ratings, and “offer the asker reasons for why the question posed is of poor quality and offer guidelines for improvement,” followed by evaluating whether askers revise questions and receive better answers (Section Discussion, pp. 8–9); They explicitly state that “there must also be work done in order to determine the link between question and answer quality,” so that askers can be informed when their questions are likely to receive poor-quality answers and revise them accordingly (Section Conclusion, p. 9)];"
