Study#,SL,Title,Year,Tools & Techniques
S1,1,Finding high-quality content in social media,2008,"Tool/Technique [graph-based classification framework];
Target Content [question, answer];
Purpose [separate high-quality items from the rest];"
S2,2,Evaluating and Predicting Answer Quality in Community QA,2010,"Tool/Technique [machine learning classifiers];
Target Content [answer];
Purpose [predict high-quality answers and identify the best answer selected by the asker];"
S3,3,Selection of the Best Answer in CQA Services,2010,"Tool/Technique [feature-based logistic regression framework];
Target Content [answer];
Purpose [identify and predict the best (high-quality) answer based on social, textual, and content-appraisal features];"
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,2012,"Tool/Technique [machine learning–based best answer identification model];
Target Content [answer];
Purpose [automatically identify and rank the best (highest-quality) answer in Q&A threads when manual selection is missing];"
S5,5,Predictors of High-Quality Answers,2012,"Tool/Technique [feature-based quality prediction framework using logistic regression];
Target Content [answer];
Purpose [identify and predict high-quality answers by combining social features and content features];"
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,2013,"Tool/Technique [learning-to-rank framework using Random Forests];
Target Content [answer];
Purpose [rank answers by quality using user feedback and multi-dimensional features];"
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,2013,"Tool/Technique [ensemble-based machine learning classification framework (Stochastic Gradient Boosted Trees)];
Target Content [question];
Purpose [predict and identify low-quality questions that are likely to be closed at creation time];"
S8,8,Answering questions about unanswered questions of Stack Overflow,2013,"Tool/Technique [machine learning–based prediction models (Random Forest, J48 classifiers)];
Target Content [question];
Purpose [predict how long a question will remain unanswered to help improve question quality and moderation actions];"
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,2013,"Tool/Technique [discriminative machine learning–based automatic tag suggestion framework (SVM-based)];
Target Content [question tags];
Purpose [automatically suggest appropriate and missing tags for questions to improve categorization and increase chances of receiving answers];"
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,2013,N/A
S11,11,From bad to good: an investigation of question quality and transformation,2013,N/A
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,2014,"Tool/Technique [hybrid hierarchy-of-classifiers framework];
Target Content [answer];
Purpose [identify and distinguish high-quality answers by combining question-type analysis with answer quality prediction];"
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",2014,N/A
S14,14,Understanding and Classifying the Quality of Technical Forum Questions,2014,"Tool/Technique [automated question quality classification framework using machine learning];
Target Content [question];
Purpose [automatically classify and filter high-quality and low-quality technical forum questions at creation time to reduce manual review effort];"
S15,15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,2014,"Tool/Technique [machine learning–based deleted-question prediction framework (AdaBoost ensemble classifier)];
Target Content [question];
Purpose [predict extremely low-quality questions at creation time that are likely to be deleted, enabling early intervention and content quality control];"
S16,16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,2014,"Tool/Technique [two-stage machine learning classification framework (question type classification followed by question quality classification using SVM)];
Target Content [question];
Purpose [identify and flag low-quality questions by first separating questions by type and then classifying them as good or bad to support question revision and routing];"
S17,17,An Insight into the Unresolved Questions at Stack Overflow,2015,"Tool/Technique [machine learning–based unresolved question prediction model];
Target Content [question];
Purpose [predict questions whose answers are likely to remain unaccepted to support early quality management and intervention];"
S18,18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,2015,"Tool/Technique [feature-based answer quality evaluation and prediction model];
Target Content [answer];
Purpose [assess and predict high-quality answers by combining textual and non-textual features across different knowledge domains];"
S19,19,Mining Successful Answers in Stack Overflow,2015,"Tool/Technique [logistic regression–based answer success prediction model with affective features];
Target Content [answer];
Purpose [predict and improve answer acceptance by modeling presentation quality, timing, reputation, and emotional tone];"
S20,20,Automatic assessments of code explanations: Predicting answering times on stack overflow,2015,N/A
S21,21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,2015,"Tool/Technique [code-fragment–aware question quality classification model];
Target Content [question (embedded code fragments)];
Purpose [automatically classify high- and low-quality questions at posting time by analyzing code fragments to enable early feedback and moderation];"
S22,22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",2015,N/A
S23,23,Predicting the quality of questions on Stackoverflow,2015,"Tool/Technique [ridge regression–based question quality prediction model];
Target Content [question];
Purpose [predict question quality (score and likelihood of receiving answers) at posting time to identify and improve low-quality questions];"
S24,24,Answers or no answers: Studying question answerability in Stack Overflow,2015,N/A
S25,25,TagCombine: Recommending Tags to Contents in Software Information Sites,2015,"Tool/Technique [TagCombine automatic tag recommendation framework];
Target Content [question tags];
Purpose [automatically recommend high-quality and relevant tags by combining multi-label learning, similarity-based ranking, and tag–term associations to improve content organization and discoverability];"
S26,26,Detecting high-quality posts in community question answering sites,2015,"Tool/Technique [co-prediction (CoPs) framework using joint voting prediction];
Target Content [question, answer];
Purpose [early detection of high-quality questions and answers by jointly modeling voting-score correlation between questions and their associated answers];"
