Study#,SL,Title,Year,Target Q&A Site,Quality Metric,Label Coding Manual
S1,1,Finding high-quality content in social media,2008,Yahoo! Answers,"text presentation quality (punctuation, capitalization, spacing, spelling mistakes, out-of-vocabulary words); syntactic and semantic complexity (syllables per word, entropy of word lengths); text readability; grammaticality (part-of-speech (POS) tags, n-grams, human annotators (well-formedness, readability, utility, interestingness, correctness (answer only)); user relationships; usage statistics (view count, dwell time)","Presentation and Structural Quality [capitalization, spacing, well-formedness];
Readability and Linguistic Complexity [spelling mistakes, out-of-vocabulary words, syllables per word, entropy of word lengths, text readability, part-of-speech (POS) tags, n-grams, readability, punctuation];
Content Accuracy and Informativeness [utility, interestingness, correctness];
Community Engagement and Activity [user relationships];
Post Popularity and Metadata [view count, dwell time];"
S2,2,Evaluating and Predicting Answer Quality in Community QA,2010,Yahoo! Answers,"human-assessed aspects (informativeness; politeness; completeness; readability; relevance; conciseness; trustworthiness; detail; originality; objectivity; novelty; helpfulness; expertise); automatically extracted features from question, answer & user (Length of the question’s subject; Length of the question’s content; Number of answers for the question; Number of comments for the question; Information from the asker’s profile (q_points, q_level, q_total_answers, q_best_answers, q_questions_asked, q_questions_resolved, q_stars); Length of the answer’s content (acontent) ;  Inclusion of references with the answer; Reciprocal rank of the answer in the list of answers for the given question; Information from the answerer’s profile (a_points, a_level, a_total_answers, a_best_answers, a_questions_asked, a_questions_resolved, a_stars))","Readability and Linguistic Complexity [readability, Length of the question’s subject, Length of the question’s content, Length of the answer’s content];
Content Accuracy and Informativeness [informativeness, conciseness, completeness, relevance, trustworthiness, originality, objectivity, novelty, helpfulness, expertise];
Clarity, Relevance, and Supporting Resources [detail, Inclusion of references with the answer];
Reputation and Social Authority [Information from the asker’s profile (q_points, q_level, q_total_answers, q_best_answers, q_questions_asked, q_questions_resolved, q_stars), Information from the answerer’s profile (a_points, a_level, a_total_answers, a_best_answers, a_questions_asked, a_questions_resolved, a_stars), Number of comments for the question];
Post Popularity and Metadata [Reciprocal rank of the answer in the list of answers for the given question, Number of answers for the question];
Affect and Sentiment Analysis [politeness];"
S3,3,Selection of the Best Answer in CQA Services,2010,Yahoo! Answers,"Social features (Asker Authority, Answerer Authority, Users’ Endorsement); Textual features (Answer length, Question and answer length ratio, Number of unique words in the answer, Number of non-stop word overlap, Number of high frequency words); Content-appraisal features (Accuracy, Completeness, Presentation, Reasonableness)","Presentation and Structural Quality [Presentation];
Readability and Linguistic Complexity [Answer length, Number of unique words in the answer];
Content Accuracy and Informativeness [Accuracy, Completeness, Reasonableness];
Clarity, Relevance, and Supporting Resources [Question and answer length ratio];
Reputation and Social Authority [Asker Authority, Answerer Authority, Users’ Endorsement];
Post Popularity and Metadata [Number of non-stop word overlap, Number of high-frequency words];"
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,2012,SAP Community Network (SCN); Server Fault (SF); Cooking community (CO) ,"User Features (Reputation, Age, Post Rate, Number of Answers, Answers Ratio, Number of Best Answers, Best Answers Ratio, Number of Questions, Questions Ratio, Normalised Activity Entropy, Normalised Topic Entropy, Topical Reputation); Content Features (Score, Answer Age, Number of Question Views, Number of Comments, Number of Words, Readability with Gunning Fog Index, Readability with Flesch-Kincaid Grade); Thread Features (Score Ratio, Number of Answers, Answer position, Relative Answer Position, Topical Reputation Ratio)","Readability and Linguistic Complexity [Number of Words, Readability with Gunning Fog Index, Readability with Flesch-Kincaid Grade];
Community Engagement and Activity [Normalised Activity Entropy, Age, Post Rate];
Reputation and Social Authority [Reputation, Topical Reputation, Normalised Topic Entropy, Number of Answers, Answers Ratio, Number of Best Answers, Best Answers Ratio, Number of Questions, Questions Ratio];
Post Popularity and Metadata [Score, Answer Age, Number of Question Views, Number of Comments, Score Ratio, Number of Answers];
Response Timing and Interaction [Relative Answer Position];"
S5,5,Predictors of High-Quality Answers,2012,Yahoo! Answers,"Social features(Asker’s user history (Questions asked, Asker’s points, Rated questions), Answerer’s user history (Answers answered, Answerer’s points, Best answers answered), Users’ endorsements(Positive votes received, Negative votes received); Content features (Textual content features (Answer length, Question and answer length ratio, Unique words, Non-stop word overlap, High frequency words); Content appraisal features (Accuracy, Completeness, Presentation, Reliability)","Presentation and Structural Quality [Presentation];
Readability and Linguistic Complexity [Answer length, Unique words];
Content Accuracy and Informativeness [Accuracy, Completeness, Reliability];
Clarity, Relevance, and Supporting Resources [Question and answer length ratio];
Reputation and Social Authority [Asker’s user history (Questions asked, Asker’s points, Rated questions), Answerer’s user history (Answers answered, Answerer’s points, Best answers answered), Users’ endorsements (Positive votes received, Negative votes received)];
Post Popularity and Metadata [Non-stop word overlap, High-frequency words];"
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,2013,Stack Overflow,"User Features (n. of days since register; n. of days since last access; n. of merit badges; avg n. of comments per answer; max n. of comments per answer; min n. of comments per answer; avg n. of comments per question; max n. of comments per question; min n. of comments per question; n. of comments posted to answers and questions; n. of suggested edits; n. of suggested edits approved; n. of suggested edits rejected; n. of edits made on answers; avg answers posted per question; max answers posted per question; min answers posted per question; n. of posted answers; n. of posted questions; n. of posted questions already solved; Rank position in Rquestions; Rank position in Ranswers; avg n. of questions posted in the categories of T; max n. of questions posted in the categories of T; min n. of questions posted in the categories of T; avg n. of answers posted in the categories of T; max n. of answers posted in the categories of T; min n. of answers posted in the categories of T; avg rank position in Racat; max rank position in Racat; min rank position in Racat; avg rank position in Rqcat; max rank position in Rqcat; min rank position in Rqcat; Questions and answers entropy; Questions entropy; Answers entropy; n. of categories user is a top-3 answerer; n. of categories user is a top-3 asker; u-t3q / n. of categories user answered; u-t3a / n. of categories user asked; Total rating received by asking questions; Total rating received by answering questions; avg rating received in the categories of T; max rating received in the categories of T; min rating received in the categories of T; avg rating received in the categories of T; max rating received in the categories of T; min rating received in the categories of T; Tot. rating got by asking questions in cats. of T; Tot. rating got by answering questions in cats. of T; Rank position in Rrask; Rank position in Rrans; avg rank position in Rracat; max rank position in Rracat; min rank position in Rracat; avg rank position in Rrqcat; max rank position in Rrqcat; min rank position in Rrqcat.); User Graph Features; Review Features (Review count; Answer age; Question age; n. of users who edit the answer; Average n. of edits per user; Standard deviation of edits per user; #sug to the answer; #sug to the question; n. of users who suggested edits to an ans. or qst.; #sug approved by the asker; #sug rejected by the asker; #sug approved by the answer author; #sug rejected by the answer author; #ans posted before this answer; #ans posted to the question; n. of comments posted to the question; n. of comments posted to the answer; n. of users who commented the answer.); Structure Features (Image Count; Section Count (n. of HTML H1 tags); Sub-section Count (n. of HTML H2 tags); Sub-sub-section Count (n. of HTML H3 tags); Average section length; Maximum section length; Minimum section length; Section length standard deviation; Italic plus Bold tag count; Paragraph Count; n. of quoted blocks; n. of code snippets; n. of lists; n. of list items in the text; Average code length; Maximum code length; Minimum code length; Code length standard deviation; Average quoted text length; Maximum quoted text length; Minimum quoted text length; Quoted text length standard deviation; n. of links to external sources; n. of links to other query/answer in the forum; n. of interactions with other forum users.); Length Features (word, sentences and character count); Style Features (n. of words capitalized; n. of capitalization errors; Punctuation count; Punctuation density; Space density (n. of spaces / answer length); Entropy of the text word sizes; Information to noise; n. of words not in WordNet; n. of typos; Size of the largest phrase; percent of phrases where (length - avg. length) >= 10 words; percent of phrases where (avg. length - length) >= 5 words; n. of auxiliary verbs; n. of questions; n. of pronouns; n. of passive voice sentences; n. of words that are conjunctions; n. of nominalizations; n. of prepositions; n. of uses of verb ""to be""; number of phrases starting with a pronoun; number of phrases starting with an article; number of phrases starting with a conjunction; number of phrases starting with a subordinating conjunction; number of phrases starting with an interrogative pronoun; number of phrases starting with a preposition; KLD(good answers); KLD(good answers of same category); KLD(Wikipedia discussion pages); KLD(Wikipedia pages classified as “Good”).); Readability Features (Automated Readability Index; Coleman-Liau; Flesch-Kincaid; Flesch reading ease; Gunning Fog Index; Läsbarhets index; Smog-Grading.); Relevance Features (BM25 ranking function, based on a probabilistic retrieval framework; Number of sentences shared by question and answer; Number of words shared by question and answer; Number of words which appear in answer and question in the same order; Largest distance between two words that appear in answer and questions; Number of new adjectives, nouns and verbs in the answer which did not appear on the question)","Presentation and Structural Quality [Image Count, Section Count (n. of HTML H1 tags), Sub-section Count (n. of HTML H2 tags), Sub-sub-section Count (n. of HTML H3 tags), Average section length, Maximum section length, Minimum section length, Section length standard deviation, Italic plus Bold tag count, Paragraph Count, n. of quoted blocks, n. of words capitalized, n. of lists, n. of list items in the text, Average code length, Maximum code length, Minimum code length, Code length standard deviation, Average quoted text length, Maximum quoted text length, Minimum quoted text length, Quoted text length standard deviation, Space density];
Readability and Linguistic Complexity [Length Features (word, sentences, and character count), n. of capitalization errors, Punctuation count, Punctuation density, entropy of the text word sizes, Information to noise, n. of words not in WordNet, n. of typos, Size of the largest phrase, percent of phrases where (length - avg. length) >= 10 words, percent of phrases where (avg. length - length) >= 5 words, n. of auxiliary verbs, n. of questions, n. of pronouns, n. of passive voice sentences, n. of words that are conjunctions, n. of nominalizations, n. of prepositions, n. of uses of verb ""to be""];
Content Accuracy and Informativeness [Accuracy, Completeness, Presentation, Reliability, KLD(good answers), KLD(good answers of same category), KLD(Wikipedia discussion pages), KLD(Wikipedia pages classified as ""Good"")];
Clarity, Relevance, and Supporting Resources [Question and answer length ratio, Number of sentences shared by question and answer, Number of words shared by question and answer, Number of words which appear in answer and question in the same order, Largest distance between two words that appear in answer and questions, Number of new adjectives, nouns, and verbs in the answer which did not appear on the question, n. of links to external sources, n. of links to other query/answer in the forum, BM25 ranking function];
Community Engagement and Activity [n. of comments posted to answers and questions, n. of suggested edits, n. of suggested edits approved, n. of suggested edits rejected, n. of edits made on answers, Review count, n. of users who edit the answer, Average n. of edits per user, Standard deviation of edits per user, #sug to the answer, #sug to the question, n. of users who suggested edits to an ans. or qst., #sug approved by the asker, #sug rejected by the asker, #sug approved by the answer author, #sug rejected by the answer author, n. of users who commented the answer, n. of interactions with other forum users, n. of days since last access, n. of days since register, max n. of comments per answer, min n. of comments per answer, avg n. of comments per question, max n. of comments per question, min n. of comments per question, avg n. of comments per answer, Average n. of edits per user, Standard deviation of edits per user];
Reputation and Social Authority [n. of merit badges,  n. of posted answers, n. of posted questions, n. of posted questions already solved, Rank position in Rquestions, Rank position in Ranswers, avg n. of questions posted in the categories of T, max n. of questions posted in the categories of T, min n. of questions posted in the categories of T, avg n. of answers posted in the categories of T, max n. of answers posted in the categories of T, min n. of answers posted in the categories of T, avg rank position in Racat, max rank position in Racat, min rank position in Racat, avg rank position in Rqcat, max rank position in Rqcat, min rank position in Rqcat, Questions and answers entropy, Questions entropy, Answers entropy, n. of categories user is a top-3 answerer, n. of categories user is a top-3 asker, u-t3q / n. of categories user answered, u-t3a / n. of categories user asked, Total rating received by asking questions, Total rating received by answering questions, avg rating received in the categories of T, max rating received in the categories of T, min rating received in the categories of T, Tot. rating got by asking questions in cats. of T, Tot. rating got by answering questions in cats. of T, Rank position in Rrask, Rank position in Rrans, avg rank position in Rracat, max rank position in Rracat, min rank position in Rracat, avg rank position in Rrqcat, max rank position in Rrqcat, min rank position in Rrqcat];
Post Popularity and Metadata [Answer age, Question age, Review count, #ans posted before this answer, #ans posted to the question, n. of comments posted to the question, n. of comments posted to the answer, n. of code snippets, avg answers posted per question, max answers posted per question, min answers posted per question, #ans posted to the question];
Response Timing and Interaction [#ans posted before this answer];"
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,2013,Stack Overflow,"User Profile(Age of Account, Badge Score, Previous Posts with Negative Score); Community (Post Score, Accepted Answer Score, Favorite Score); Question Content (Number of URLs, Number of Stack Overflow URLs, Number of Popular Tags); Textual Style (Title Length, Body Length, Number of Tags, Number of Punctuation Marks, Number of Short Words, Code Snippet Length, Number of Special Characters, Number of Lower Case Characters, Number of Upper Case Characters)","Presentation and Structural Quality [Number of Lower Case Characters, Number of Upper Case Characters, Number of Special Characters];
Readability and Linguistic Complexity [Title Length, Body Length, Number of Punctuation Marks, Number of Short Words];
Clarity, Relevance, and Supporting Resources [Number of URLs, Number of Stack Overflow URLs];
Community Engagement and Activity [Age of Account];
Reputation and Social Authority [Badge Score, Previous Posts with Negative Score];
Post Popularity and Metadata [Post Score, Accepted Answer Score, Favorite Score, Code Snippet Length];
Tag Relevance and Specificity [Number of Popular Tags];"
S8,8,Answering questions about unanswered questions of Stack Overflow,2013,Stack Overflow,"Manual Analyzed Features (Too short, unclear, vague or hard to follow, Program specific without a program snippet or proper explanation, Too hard, too specific or too time-consuming, Proprietary technology, Impatient, irregular or inconsiderate members, Not a question for SO, Answering their own question, Does not have any answer, A duplicate question, Answer no longer relevant or needed, Fails to attract an expert member, Works for me, Course project or homework question), Answering time prediction model features(Title Length, Post Length, Tag Similarity, Readability, code, Question Answered, Question Asked, Asker Score, Satisfaction)","Readability and Linguistic Complexity [Title Length, Post Length, Readability];
Content Accuracy and Informativeness [Too short, Program-specific without a program snippet or proper explanation, Too hard, too specific or too time-consuming, Proprietary technology, Not a question for SO, Course project or homework question, A duplicate question];
Clarity, Relevance, and Supporting Resources [unclear, vague, or hard to follow, presence of code];
Community Engagement and Activity [Impatient, irregular or inconsiderate members, Answering their own question];
Reputation and Social Authority [Asker Score, question Answered, Question Asked];
Post Popularity and Metadata [Fails to attract an expert member, Satisfaction, Does not have any answer, Answer no longer relevant or needed, Works for me];
Response Timing and Interaction [Answering time prediction model features];
Tag Relevance and Specificity [Tag Similarity]."
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,2013,Stack Overflow,tags,Tag Relevance and Specificity[tags];
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,2013,Yahoo! Answers,"Qualitative Metrics (Ambiguity, Lack of information, Poor Syntax, Complex, Excessive Information, Inappropriate, Inconsistent); Textual Assessments of Question Quality (Content starts with an interrogative word, Subject starts with an interrogative word, Number of taboo words, Readability of Content, Number of Complex Words, Number of Misspelled Words, Edit Distance Between Subject and Content, Entropy of Subject and Content, Cosine similarity between Subject and Content, Number of Questions, Number of Sentences / Number of Words)","Readability and Linguistic Complexity [Readability of Content, Number of Complex Words, Number of Misspelled Words, Number of Sentences / Number of Words, Content starts with an interrogative word, Subject starts with an interrogative word,];
Content Accuracy and Informativeness [Lack of information, Poor Syntax, Complex, Inappropriate, Inconsistent];
Clarity, Relevance, and Supporting Resources [Ambiguity, Number of Questions, Edit Distance Between Subject and Content, Entropy of Subject and Content, Cosine similarity between Subject and Content];
Affect and Sentiment Analysis [Number of taboo words];"
