Study#,SL,Title,Year,Target Q&A Site,Methodology,Categorized Methodology
S1,1,Finding high-quality content in social media,2008,Yahoo! Answers,Qualitative analysis (human rating on quality); Textual and semantic feature analysis; Machine learning (classification frameworks using stochastic gradient boosted trees); Graph-based model of contributor relationships combined with content and usage-based features; Text classification; User interaction modeling; Graph-based classification,"Qualitative Analysis [human rating on quality];
Machine Learning (ML) [classification frameworks using stochastic gradient boosted trees];
Text Analysis and Natural Language Processing [Textual and semantic feature analysis, Text classification];
Data Mining and Graph-Based Models [Graph-based model of contributor relationships combined with content and usage-based features, Graph-based classification, User interaction modeling];"
S2,2,Evaluating and Predicting Answer Quality in Community QA,2010,Yahoo! Answers,Qualitative analysis (human rating on quality); Machine learning (logistic regression); Cross-validation,"Qualitative Analysis [human rating on quality];
Machine Learning (ML) [logistic regression];
Miscellaneous [Cross-validation];"
S3,3,Selection of the Best Answer in CQA Services,2010,Yahoo! Answers,Logistic regression model; Expert evaluation,"Qualitative Analysis [Expert evaluation];
Machine Learning (ML) [Logistic regression model];"
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,2012,SAP Community Network (SCN); Server Fault (SF); Cooking community (CO) ,Machine Learning (Multi-class alternating decision tree); 10-fold cross-validation; Information gain ratio analysis; Learning algorithm comparison,"Quantitative and Statistical Analysis [Information gain ratio analysis];
Machine Learning (ML) [Multi-class alternating decision tree];
Relevance, Ranking, and Evaluation [Learning algorithm comparison];
Miscellaneous [10-fold cross-validation];"
S5,5,Predictors of High-Quality Answers,2012,Yahoo! Answers,Qualitative analysis; Logistic regression model; Expert judgment.,"Qualitative Analysis [Qualitative analysis, Expert judgment];
Machine Learning (ML) [Logistic regression model];"
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,2013,Stack Overflow,"Machine Learning (e.g., EXQD, SHAH, AdTree, RF); Random Forests; Learning to Rank (L2R); Cross-validation; Information gain analysis; ExpertiseRank; BM25 ranking function; Probabilistic retrieval framework","Quantitative and Statistical Analysis [Information gain analysis];
Machine Learning (ML) [EXQD, SHAH, AdTree, Random Forests];
Data Mining and Graph-Based Models [ExpertiseRank, Data Mining and Graph-Based Models];
Relevance, Ranking, and Evaluation [Learning to Rank (L2R), BM25 ranking function];"
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,2013,Stack Overflow,"Machine learning classification (e.g., Stochastic Gradient Boosted Trees, Support Vector Machines, Naive Bayes, Logistic Regression); Temporal analysis; Correlation analysis; Ensemble learning","Quantitative and Statistical Analysis [Correlation analysis, Temporal analysis];
Machine Learning (ML) [Stochastic Gradient Boosted Trees, Support Vector Machines, Naive Bayes, Logistic Regression, Ensemble learning];"
S8,8,Answering questions about unanswered questions of Stack Overflow,2013,Stack Overflow,"Qualitative analysis; Data mining; Random sampling; Machine learning classifiers (e.g., Random Forest); 10-fold cross-validation","Qualitative Analysis [Qualitative analysis];
Quantitative and Statistical Analysis [Random sampling];
Machine Learning (ML) [Random Forest, Machine learning classifiers];
Data Mining and Graph-Based Models [Data mining];"
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,2013,Stack Overflow,"Machine learning classifiers (e.g., SVM); Discriminative model training; Tokenization; Term Frequency (TF); Mallet","Machine Learning (ML) [SVM, Discriminative model training];
Text Analysis and Natural Language Processing [Tokenization, Term Frequency (TF), Mallet];"
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,2013,Yahoo! Answers,"Data mining; Statistical analysis (e.g., regression); Likert-based coding; Multiple regression; Krippendorff’s alpha; Stratified random sampling;","Qualitative Analysis [Likert-based coding];
Quantitative and Statistical Analysis [Statistical analysis (e.g., regression), Multiple regression, Krippendorff’s alpha, Stratified random sampling];
Data Mining and Graph-Based Models [Data mining];"
S11,11,From bad to good: an investigation of question quality and transformation,2013,Yahoo! Answers,Data mining; Statistical analysis; Human expert assessments; Feature comparison (before and after revision); Typology-based evaluation,"Qualitative Analysis [Human expert assessments, Typology-based evaluation];
Quantitative and Statistical Analysis [Statistical analysis, Feature comparison (before and after revision)];
Data Mining and Graph-Based Models [Data mining];"
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,2014,Yahoo! Answers,"Manual annotation; Machine learning classifiers (e.g., logistic regression); Hierarchical classifiers; Question-type classification; Cross-validation; Feature ranking; Cosine similarity","Qualitative Analysis [Manual annotation];
Machine Learning (ML) [Logistic regression, Hierarchical classifiers, Machine learning classifiers];
Text Analysis and Natural Language Processing [Question-type classification];
Relevance, Ranking, and Evaluation [Feature ranking, Cosine similarity];
 Miscellaneous [Cross-validation];"
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",2014,Stack Overflow,Quantitative analysis; Readability analysis; Sentiment evaluation,"Quantitative and Statistical Analysis [Quantitative analysis, Readability analysis];
Text Analysis and Natural Language Processing[Sentiment evaluation];"
S14,14,Understanding and Classifying the Quality of Technical Forum Questions,2014,Stack Overflow,"Machine learning classifiers (e.g., Decision Tree); Genetic algorithms; Cross-validation.","Machine Learning (ML) [Decision Tree, Machine learning classifiers, Genetic algorithms];
Miscellaneous [Cross-validation];"
S15,15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,2014,Stack Overflow,"Machine learning classifiers (e.g., Adaboost); Longitudinal analysis; Predictive modeling; Temporal trend analysis; Cross-validation","Quantitative and Statistical Analysis [Longitudinal analysis, Temporal trend analysis];
Machine Learning (ML) [Adaboost, Machine learning classifiers, Predictive modeling];
Miscellaneous [Cross-validation];"
S16,16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,2014,Yahoo! Answers,"Machine learning classifiers (e.g., Support Vector Machine); Human assessments (e.g., Mechanical Turk); Human quality ratings; Cross-validation; Cosine similarity.","Qualitative Analysis [Human assessments (e.g., Mechanical Turk), Human quality ratings];
Machine Learning (ML) [Support Vector Machine, Machine learning classifiers];
Relevance, Ranking, and Evaluation [Cosine similarity];
Miscellaneous [Cross-validation];"
S17,17,An Insight into the Unresolved Questions at Stack Overflow,2015,Stack Overflow,"Machine learning classifiers (e.g., J48, Logistic Regression, Naive Bayes); Lexical analysis; Topic modeling; User behavior analysis; Popularity analysis; Prediction modeling; Cross-validation; MALLET","Quantitative and Statistical Analysis [Popularity analysis];
Machine Learning (ML) [J48, Logistic Regression, Naive Bayes, Machine learning classifiers, Prediction modeling];
Text Analysis and Natural Language Processing [Lexical analysis, Topic modeling, MALLET];
Data Mining and Graph-Based Models [User behavior analysis];
Miscellaneous [Cross-validation];"
S18,18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,2015,"Stack Excchange (Mathematics, Ask Ubuntu, Photography, Arqade)",Exploratory Factor Analysis (EFA); Maximum likelihood estimation; Varimax rotation; Cross-domain comparison,"Quantitative and Statistical Analysis [Exploratory Factor Analysis (EFA), Maximum likelihood estimation, Varimax rotation];
Relevance, Ranking, and Evaluation [Cross-domain comparison];"
S19,19,Mining Successful Answers in Stack Overflow,2015,Stack Overflow,"Machine learning classifiers (e.g., Logistic Regression); Sentiment analysis; Temporal analysis; Weka tool.","Quantitative and Statistical Analysis [Temporal analysis];
Machine Learning (ML) [Logistic Regression, Machine learning classifiers];
Text Analysis and Natural Language Processing [Sentiment analysis];
Miscellaneous [Weka tool];"
S20,20,Automatic assessments of code explanations: Predicting answering times on stack overflow,2015,Stack Overflow,Quantitative analysis; Correlation analysis; Token Similarity Algorithm (TSA); L-ROUGE metric; Term-based strategy; Term extraction using ANTLR4.,"Quantitative and Statistical Analysis [Quantitative analysis, Correlation analysis];
Text Analysis and Natural Language Processing [Token Similarity Algorithm (TSA), L-ROUGE metric, Term-based strategy, Term extraction using ANTLR4];"
