Study#,SL,Title,Year,Target Q&A Site,Dataset
S1,1,Finding high-quality content in social media,2008,Yahoo! Answers,"Yahoo! Answers (6,665 questions and 8,366 question/answer pairs)"
S2,2,Evaluating and Predicting Answer Quality in Community QA,2010,Yahoo! Answers,"Yahoo! Quest (120 questions with 600 answers. For each question, we picked five answers – the answer voted as the best answer, and four others randomly sampled.)"
S3,3,Selection of the Best Answer in CQA Services,2010,Yahoo! Answers,Yahoo! Answers (800 question-answer pairs - Computers and Internet category)
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,2012,SAP Community Network; Server Fault; Cooking community;,"SAP Community Network (SCN) (Our dataset consists of 95, 015 threads and 427, 221 posts divided between
32, 942 users were collected from 33 different forums between December 2003 and July 2011. Within those threads, we only select threads that have the best answers. Our final dataset consists of 29, 960 (32%) questions and 111, 719 (26%) answers.); Server Fault (SF) (Our SF dataset is extracted from the April 2011 public dataset, and consists of 71, 962 questions, 162, 401 answers and 51, 727 users. Within those questions, we selected only the questions that have the best answers. The final SF dataset consists of 36, 717 (51%) questions and 95, 367 (59%) answers.); Cooking community (CO) (CO is a smaller dataset with 3, 065 questions, 9, 820 answers and 4, 941 users. Similarly to the other datasets, we only select the questions that have the best answers. The final dataset is composed of 2, 154 (70%) questions and 7, 039 (72%) answers)"
S5,5,Predictors of High-Quality Answers,2012,Yahoo! Answers,"Yahoo! Answers(May 2009 from four categories:
computers and internet, mathematics and science, arts and humanities, and business. 200 questions were randomly selected from each category to make a total of 800 questions. Each question had three answers, with one best answer and two non-best answers randomly selected from the pool of candidate answers. This resulted in a total of 2,400 question-answer pairs for analysis.)"
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,2013,Stack Overflow,"Stack Overflow (9,721 questions with 53,263 answers)"
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,2013,Stack Overflow,"Stack Overflow (August 2012 data dump - 102,993 ‘closed’ questions)"
S8,8,Answering questions about unanswered questions of Stack Overflow,2013,Stack Overflow,"Stack Overflow (July 31, 2008 to July 31, 2012)"
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,2013,Stack Overflow,"Stack Overflow (Training: 1.3 million questions to prepare the training datasets for 834 popular tags, Testing: we create an
oracle of 16,680 questions by randomly choosing 20 questions for each of the 834 tags)"
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,2013,Yahoo! Answers,"Yahoo! Answers (1,000 questions - Business, Entertainment, Travel, Sports, and Health)"
S11,11,From bad to good: an investigation of question quality and transformation,2013,Yahoo! Answers,"Yahoo! Answers (2,000 questions - Business and Finance, Entertainment and Music, Health, Sports, and Travel)"
S12,12,Discovering high quality answers in community question answering archives using a hierarchy of classifiers,2014,Yahoo! Answers,"Yahoo! Answers (5854 questions with 46,821 answers covering 12 categories have been collected from April 2006 to April 2012 period)"
S13,13,"""A Bit of Code"": How the Stack Overflow Community Creates Quality Postings",2014,Stack Overflow,"Stack Overflow (August 2012 data dump, 10.3M posts)"
S14,14,Understanding and Classifying the Quality of Technical Forum Questions,2014,Stack Overflow,"Stack Overflow (September 2013 data dump - 5,648,975 questions)"
S15,15,Chaff from the wheat : Characterization and modeling of deleted questions on Stack Overflow,2014,Stack Overflow,"Stack Overflow (24 database dumps between August 2008 and June 2013 - 270,604 (?0.27M) deleted questions)"
S16,16,Questioning the Question -- Addressing the Answerability of Questions in Community Question-Answering,2014,Yahoo! Answers,"Yahoo! Answers (5,000 questions)"
S17,17,An Insight into the Unresolved Questions at Stack Overflow,2015,Stack Overflow,"Stack Overflow(3,956 unresolved questions, 4,101 resolved questions)"
S18,18,Evaluating Answer Quality across Knowledge Domains: Using Textual and Non-Textual Features in Social Q&A,2015,Mathematics; Ask Ubuntu; Photography; Arqade;,"Stack Exchange (Mathematics, Ask Ubuntu, Photography, Arqade -- 1,000 answers from four sites)"
S19,19,Mining Successful Answers in Stack Overflow,2015,Stack Overflow,"Stack Overflow (September 2014 data dump - 348,618 answers where 103,728 (30%) accepted answers)"
S20,20,Automatic assessments of code explanations: Predicting answering times on stack overflow,2015,Stack Overflow,"Stack Overflow (301,480 posts)"
S21,21,Quality Questions Need Quality Code: Classifying Code Fragments on Stack Overflow,2015,Stack Overflow,"Stack Overflow (MSR Challenge Dataset - 521,530 questions related to Java; Final dataset - 123,688 questions, out of which 11,997 low quality and 111,671 high quality)"
S22,22,"Utilizing Content Moderators to Investigate Critical Factors for Assessing the Quality of Answers on Brainly, Social Learning Q&A Platform for Students: A Pilot Study",2015,Brainly,Brainly (6 question-answer sets)
S23,23,Predicting the quality of questions on Stackoverflow,2015,Stack Overflow,"Stack Overflow (1,713,400 Questions -  31 July 2008 to 9 June 2011, 126,227 remained unanswered (7.37%))"
S24,24,Answers or no answers: Studying question answerability in Stack Overflow,2015,Stack Overflow,Stack Overflow (randomly sampled 3000 Java-related questions (1500 answered + 1500 unanswered))
S25,25,TagCombine: Recommending Tags to Contents in Software Information Sites,2015,Stack Overflow; Ask Ubuntu; Ask Different; Freecode;,"Ask Different, Ask Ubuntu, Freecode, and Stack Overflow, which contain 13,351, 37,354, 39,231, and 47,668 text documents, respectively, and 153, 346, 243, and 437 tags, respectively"
S26,26,Detecting high-quality posts in community question answering sites,2015,Stack Overflow; Mathematics;,"Stack Overflow (questions - 1,966,272, Answers - 4,282,570, Users - 756,695, Votes - 14,056,000); Mathematics (questions - 16,638, Answers - 32,876, Users - 12,526, Votes - 202,932)"
S27,27,Building a parsimonious model for identifying best answers using interaction history in community Q&A,2015,Yahoo! Answers,"Yahoo! Answers (11,609 question-answer pairs, 23,218 best answers, interactions 230, 840)"
S28,28,Multi-Factor Duplicate Question Detection in Stack Overflow,2015,Stack Overflow,Stack Overflow (MSR 2013 mining challenge - 2008 to 2012)
S29,29,Synonym Suggestion for Tags on Stack Overflow,2015,Stack Overflow,"Stack Overflow (38,000 tags; 2,765 synonym-pairs)"
