Study#,SL,Title,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,EvaluationMetrics,Categorized_Methodology_Details,Year,Target Content,TargetContentNumeric,#OfMethods
S1,1,Finding high-quality content in social media,1,1,1,0,0,0,1,0,0,0,0,auc/roc/auc-roc; cohen's kappa; f1 score; precision; recall;,"Qualitative Analysis
[Uses expert editor judgments to label questions and answers for well-formedness, readability, utility, interestingness, and correctness, serving as ground truth for supervised learning.]

Machine Learning (ML)
[Applies supervised classification using stochastic gradient boosted decision trees to integrate heterogeneous feature sets and distinguish high-quality content from lower-quality items.]

Text Analysis and Natural Language Processing
[Extracts lexical, syntactic, semantic, and grammatical features from text, including n-grams, readability indicators, language-model divergence, POS tagging, and stylistic markers for quality classification.]

Data Mining and Graph-Based Models
[Constructs multi-relational graphs of users, questions, and answers, and derives graph-based features (e.g., PageRank, HITS hub/authority scores) to model contributor reputation, interaction dynamics, and their influence on content quality.]",2008,answer; question,TC1&2,4
S2,2,Evaluating and Predicting Answer Quality in Community QA,1,0,1,0,0,0,0,0,0,0,1,accuracy; chi-squared test; likert scale; pseudo-r-squared; t-test;,"Qualitative Analysis
[Employs crowdsourced human assessment (Amazon Mechanical Turk) to rate answers across 13 quality dimensions using Likert-scale judgments as ground truth.]

Machine Learning (ML)
[Uses supervised logistic regression models to predict whether an answer will be selected as the best answer by the asker based on human-rated aspects and automatically extracted features.]

Miscellaneous
[Applies stratified sampling and extensive validation using 10-fold cross-validation and cross-dataset testing to assess robustness and generalizability of prediction models.]",2010,answer,TC2,3
S3,3,Selection of the Best Answer in CQA Services,1,0,1,0,0,0,0,0,0,0,0,logistic regression(beta value - ?; odds ratio; omnibus tests of model coefficients; p-value; significance - ?; standard error - s.e; wald statistics - wald;,"Qualitative Analysis
[Employs expert evaluation by domain specialists to identify best answers and to rate answers on content-appraisal dimensions, with inter-rater agreement validated using Cohen’s Kappa.]

Machine Learning (ML)
[Applies binary logistic regression to model the likelihood of an answer being selected as the best based on combined social, textual, and content-appraisal features.]",2010,answer,TC2,2
S4,4,Automatic Identification of Best Answers in Online Enquiry Communities,1,0,0,1,0,1,0,0,0,0,1,auc/roc/auc-roc; f1 score; infogain; precision; recall;,"Quantitative and Statistical Analysis
[Ranks feature importance using Information Gain Ratio to quantify the relative contribution of content, user, and thread features to best-answer prediction.]

Machine Learning (ML)
[Applies a supervised multi-class alternating decision tree classifier to predict best answers across different communities using combined content, user, and thread feature sets.]

Relevance, Ranking, and Evaluation
[Compares learning algorithms and feature subsets by evaluating precision, recall, F1-score, and ROC–AUC across multiple community datasets.]

Miscellaneous
[Employs standard 10-fold cross-validation to assess model robustness and generalizability.]",2012,answer,TC2,4
S5,5,Predictors of High-Quality Answers,1,0,1,0,0,0,0,0,0,0,0,beta value Â– b; cohen's kappa; cox and snell r square; hosmer-lemeshow test; log likelihood; nagelkerke r square; odds ratio; significance Â– p;,"Qualitative Analysis
[Applies expert judgment to evaluate content appraisal features and to identify high-quality versus non-high-quality answers, with inter-rater agreement validated using Cohen’s Kappa.]

Machine Learning (ML)
[Uses supervised logistic regression to estimate the likelihood of an answer being high quality based on combined social, textual, and content appraisal features.]",2012,answer,TC2,2
S6,6,Exploiting User Feedback to Learn to Rank Answers in Q&A Forums: A Case Study with Stack Overflow,1,0,0,1,0,1,1,0,0,0,0,infogain; ndcg;,"Quantitative and Statistical Analysis
[Analyzes feature importance using information gain to quantify discriminative power across feature groups.]

Machine Learning (ML)
[Employs ensemble tree models for learning to rank, including Random Forests and boosted decision-tree variants (EXQD, SHAH, AdTree), trained to predict continuous answer ratings.]

Data Mining and Graph-Based Models
[Incorporates user-graph expertise signals (e.g., ExpertiseRank/PageRank and HITS-style authority) to model relational influence among contributors.]

Relevance, Ranking, and Evaluation
[Applies learning-to-rank (L2R) with IR relevance functions (BM25) and evaluates rankings using NDCG with cross-validation and statistical significance testing.]",2013,answer,TC2,4
S7,7,Fit or Unfit: Analysis and Prediction of 'closed Questions' on Stack Overflow,1,0,0,1,0,0,0,0,0,0,0,accuracy; auc/roc/auc-roc; f1 score; pearson correlation;,"Quantitative and Statistical Analysis
[Performs correlation and temporal trend analyses to examine the evolution, causes, and community dynamics of closed questions over time.]

Machine Learning (ML)
[Trains multiple supervised classifiers—including stochastic gradient boosted trees, support vector machines, naive Bayes, logistic regression, and ensemble learners—to predict question closure at creation time, with boosted ensembles achieving the best performance.]",2013,question (closed),TC1,2
S8,8,Answering questions about unanswered questions of Stack Overflow,1,0,1,1,0,0,1,0,0,0,0,binning (time categorization); precision; recall;,"Qualitative Analysis
[Conducts manual qualitative analysis on a random sample of unanswered questions to derive a taxonomy explaining why questions remain unanswered.]

Quantitative and Statistical Analysis
[Applies random sampling and descriptive statistics to analyze distributions of unanswered questions across users, time, and reputation levels.]

Machine Learning (ML)
[Trains supervised classifiers, including Random Forests and other machine-learning models, to predict unanswered duration categories for questions.]

Data Mining and Graph-Based Models
[Applies data mining techniques over Stack Overflow posts, metadata, and user histories to extract predictive features.]",2013,question ,TC1,4
S9,9,A discriminative model approach for suggesting tags automatically for stack overflow questions,1,1,0,0,0,0,0,0,0,0,0,accuracy;,"Machine Learning (ML)
[Trains independent discriminative classifiers using Support Vector Machines for each popular tag, learning decision boundaries that distinguish tag-relevant questions from non-relevant ones.]

Text Analysis and Natural Language Processing
[Processes question text through tokenization, stop-word removal, and term-frequency weighting, using MALLET to generate high-dimensional feature vectors for discriminative model training.]",2013,tags,TC3,2
S10,10,Analyzing question quality through intersubjectivity: world views and objective assessments of questions on social question-answering,0,0,1,1,0,0,1,0,0,0,0,anova; beta coefficients; krippendorff's alpha; kurtosis; mean; r-square; skewness; standard deviation;,"Qualitative Analysis
[Applies Likert-scale coding by trained human assessors to rate multiple dimensions of question quality derived from a grounded typology.]

Quantitative and Statistical Analysis
[Uses stratified random sampling, inter-rater reliability assessment (Krippendorff’s alpha), correlation analysis, and multiple regression to relate subjective ratings to objective textual features.]

Data Mining and Graph-Based Models
[Employs data mining techniques to extract and analyze large sets of textual features from question subjects and contents for explanatory modeling.]",2013,question,TC1,3
